Year,Month,Day,Open,High,Low,Close,Volumn,Return,RSI,CDMA
2019,3,4,15.197,15.279,15.064,15.089,29830,0.99171870,32.85796329,-0.03946950
2019,3,1,15.613,15.638,15.147,15.215,33341,0.97469571,35.36946310,0.01119691
2019,2,28,15.737,15.826,15.578,15.610,26728,0.99129993,45.49140159,0.06287372
2019,2,27,15.925,16.082,15.703,15.747,22555,0.98807806,50.10986196,0.08769940
2019,2,26,15.885,15.939,15.794,15.937,24684,1.00264234,57.64673039,0.10416129
2019,2,25,15.899,16.007,15.852,15.895,26368,0.99836694,56.29750352,0.10431211
2019,2,22,15.800,15.979,15.800,15.921,25162,1.00682982,57.34765778,0.10726371
2019,2,21,16.063,16.107,15.801,15.813,34279,0.98455887,54.04090972,0.10682355
2019,2,20,15.991,16.217,15.963,16.061,31477,1.00400075,64.74375797,0.11570432
2019,2,19,15.817,16.007,15.746,15.997,25896,1.01182796,62.98715847,0.10010552
2019,2,18,15.787,15.860,15.765,15.810,12930,1.00152033,57.20166268,0.08525607
2019,2,15,15.626,15.807,15.563,15.786,23644,1.01069211,56.38926913,0.08410269
2019,2,14,15.566,15.691,15.494,15.619,28373,1.00314708,50.29278334,0.08385087
2019,2,13,15.702,15.818,15.545,15.570,23316,0.99134089,48.32460273,0.09931345
2019,2,12,15.707,15.832,15.670,15.706,19156,1.00012736,53.81645344,0.12259386
2019,2,11,15.816,15.842,15.669,15.704,19298,0.99210310,53.74467094,0.13667767
2019,2,8,15.736,15.869,15.662,15.829,20470,1.00571828,59.07333245,0.15286933
2019,2,7,15.671,15.758,15.647,15.739,22064,1.00414700,56.16781377,0.15858494
2019,2,6,15.843,15.869,15.648,15.674,20032,0.98902070,53.97661377,0.17273709
2019,2,5,15.871,15.930,15.816,15.848,20062,0.99880255,61.63560877,0.19490603
2019,2,4,15.919,15.930,15.695,15.867,21243,0.99761081,62.53533694,0.20265029
2019,2,1,16.060,16.079,15.898,15.905,25780,0.98985561,64.27789221,0.20765259
2019,1,31,16.099,16.189,15.997,16.068,29129,1.00012449,72.30270563,0.20714786
2019,1,30,15.844,16.106,15.823,16.066,31842,1.01407562,72.26325204,0.18689422
2019,1,29,15.745,15.919,15.723,15.843,24324,1.00488393,67.46490725,0.15852838
2019,1,28,15.755,15.820,15.608,15.766,22074,1.00120658,65.55429682,0.14272284
2019,1,25,15.325,15.753,15.294,15.747,27795,1.02800627,65.08449290,0.12831326
2019,1,24,15.368,15.397,15.246,15.318,27728,0.99726563,51.10168061,0.10998957
2019,1,23,15.327,15.436,15.272,15.360,25420,1.00136906,53.03242589,0.12868202
2019,1,22,15.258,15.352,15.184,15.339,24340,1.00445288,52.19381754,0.14639228
2019,1,21,15.350,15.365,15.193,15.271,15863,0.99550196,49.48165902,0.16900586
2019,1,18,15.560,15.581,15.331,15.340,26879,0.98808374,52.27606423,0.20233438
2019,1,17,15.596,15.617,15.459,15.525,26669,0.99563907,60.82850849,0.23490519
2019,1,16,15.586,15.648,15.497,15.593,24091,1.00089865,64.42601106,0.25422422
2019,1,15,15.653,15.700,15.544,15.579,31292,0.99635457,64.01919389,0.26826088
2019,1,14,15.606,15.664,15.547,15.636,28549,1.00243621,66.91209420,0.28370024
2019,1,11,15.593,15.740,15.559,15.598,32637,1.00212014,65.95987153,0.29347630
2019,1,10,15.756,15.788,15.555,15.565,33781,0.98844224,65.15114173,0.30555444
2019,1,9,15.667,15.777,15.586,15.747,36352,1.00600524,74.17619026,0.31988612
2019,1,8,15.675,15.690,15.506,15.653,31041,1.00044740,72.33848771,0.31499476
2019,1,7,15.740,15.820,15.623,15.646,30192,0.99675097,72.20169634,0.31374077
2019,1,4,15.748,15.875,15.587,15.697,46268,0.99752161,74.70086678,0.30828945
2019,1,3,15.529,15.754,15.489,15.736,50504,1.01378688,76.58317878,0.29165464
2019,1,2,15.492,15.616,15.332,15.522,43103,0.99961360,73.13383819,0.26220942
2019,1,1,15.528,15.528,15.528,15.528,1,1.00361944,73.41538331,0.24260174
2018,12,31,15.390,15.508,15.330,15.472,26041,1.00598179,72.49779200,0.21343556
2018,12,28,15.230,15.398,15.224,15.380,35900,1.00925258,70.96919470,0.17880620
