,Day,Return
421,28,1.00692042
422,27,0.99625557
423,26,0.97996389
424,25,1.01023831
425,22,1.00141418
426,21,0.98910129
427,20,0.99104719
428,19,1.00621876
429,18,0.97766919
430,15,0.98920803
431,14,1.0010691
432,13,0.99296011
433,12,1.00578814
434,11,0.99048202
435,8,0.99073563
436,7,1.01460303
437,6,0.9985474
438,5,1.00011175
439,4,1.00976078
440,1,1.00842057
441,31,1.00889731
442,30,1.00143711
443,29,0.99730551
444,28,1.02191107
445,25,1.0055968
446,24,0.99280576
447,23,1.00606096
448,22,0.99864841
449,21,1.00105889
450,18,0.99782813
451,17,0.99433841
452,16,1.02993688
453,15,0.9745167
454,14,0.99696297
455,11,0.9996497
456,10,1.01050147
457,9,1.0303325
458,8,1.01075203
459,7,1.00073783
460,4,0.9757034
461,3,1.00524665
462,2,0.99186506
463,1,0.99346328
464,31,1.00633895
465,28,1.00886878
466,27,0.9956749
467,26,1.00866457
468,25,1.0009704
469,24,0.99848604
470,21,1.01102063
471,20,1.00288591
472,19,0.99981583
473,18,1.01142502
474,17,1.00763311
475,14,1.01718322
476,13,0.98681153
477,12,1.00428887
478,11,1.01206434
479,10,1.00506833
480,7,0.97254633
481,6,0.99614644
482,5,1.00093318
483,4,0.9970227
484,3,0.96986104
485,30,0.99975943
486,29,0.9897613
487,28,1.00785937
488,27,1.00470163
489,26,0.99180965
490,23,1.01038961
491,22,1.00601604
492,21,0.99927131
493,20,0.9981211
494,19,0.98820077
495,16,0.99701421
496,15,0.99118082
497,14,1.00368324
498,13,0.99245328
499,12,0.98587538
500,9,0.9866942
501,8,0.99175246
502,7,0.99305242
503,6,1.0088899
504,5,1.00034204
505,2,1.01475097
506,1,0.99780664
507,31,0.99574688
508,30,0.99959784
509,29,1.00374834
510,26,1.01084232
511,25,0.99587832
512,24,1.00943452
513,23,0.99463776
514,22,1.01743462
515,19,1.0171301
516,18,0.98106397
517,17,1.00255102
518,16,1.01346801
519,15,1.00989738
520,12,1.00777139
521,11,1.00876543
522,10,1.00055586
523,9,0.99710555
524,8,0.9938793
525,5,1.00079632
526,4,0.99095544
527,3,0.97826603
528,2,0.99928792
529,1,0.9786295
530,28,0.9976247
531,27,0.9862865
532,26,0.99460105
533,25,0.98093433
534,24,1.00005575
535,21,0.99440071
536,20,0.9938292
537,19,0.9916949
538,18,0.99375577
539,17,0.99331212
540,14,1.0
541,13,1.00221622
542,12,1.0091643
543,11,1.02133824
544,10,0.99677903
545,7,0.9859286
546,6,0.99759668
547,5,0.99972697
548,4,1.00295745
549,3,0.99994524
550,31,1.00772627
551,30,0.99303995
552,29,1.0032439
553,28,1.00436247
554,27,1.01930654
555,24,1.01017797
556,23,1.00262243
557,22,1.00005701
558,21,1.00642644
559,20,1.00132146
560,17,1.0048496
561,16,0.99873148
562,15,1.02779424
563,14,0.99416721
564,13,0.996185
565,10,1.00501386
566,9,0.98369502
567,8,0.98536306
568,7,0.98330241
569,6,0.98987145
570,3,1.01091421
571,2,0.96529814
572,1,1.00567996
573,28,1.00246373
574,27,0.99423004
575,24,1.00995052
576,23,1.00904199
577,22,1.00283712
578,21,0.99518352
579,20,1.00383461
580,17,0.99452827
581,16,1.00606094
582,15,1.00144782
583,14,1.00785722
584,13,0.99242509
585,10,1.01693571
586,9,0.99241147
587,8,1.0044605
588,7,0.99836528
589,6,1.01313535
590,3,1.00183087
591,2,0.99589744
592,1,0.99920292
593,31,1.02581474
594,30,0.99807636
595,27,1.02107017
596,26,0.98881761
597,25,0.99298697
598,24,0.99332405
599,23,1.00860706
600,20,1.00411547
601,19,0.997069
602,18,0.99220613
603,17,1.02308837
604,16,0.99934586
605,13,1.00232461
606,12,1.00250971
607,11,0.99690236
608,10,1.01376895
609,9,1.00424525
610,6,0.99415169
611,5,1.00986361
612,4,1.00810214
613,3,1.02266022
614,30,0.98582921
615,29,1.00911702
616,28,1.00275517
617,27,1.01461245
618,23,0.99312259
619,22,0.99460307
620,21,0.99036669
621,20,1.00782963
622,19,0.9875665
623,16,1.01157625
624,15,0.94938514
625,14,0.99585872
626,13,0.98957906
627,12,1.01005263
628,9,0.99103376
629,8,0.99579832
630,7,1.02530964
631,6,0.99796979
632,5,1.00059748
633,2,1.01682868
634,1,0.99679041
635,30,0.99338266
636,29,1.00126491
637,28,1.00465961
638,25,1.01144571
639,24,0.99664491
640,23,0.98273485
641,22,1.00518228
642,21,1.00054263
643,18,0.99478198
644,17,0.9808801
645,16,0.99461673
646,15,1.0089739
647,14,0.97585988
648,11,0.93237
649,10,1.00752287
650,9,1.00555102
651,8,1.01067048
652,7,0.98632887
653,4,1.00386668
654,3,0.99361472
655,2,1.00631671
656,1,1.02592179
657,31,1.00748579
658,28,1.00794236
659,27,0.99971642
660,26,0.99279279
661,25,1.00943503
662,24,1.00307868
663,21,0.99982899
664,20,0.99202669
665,19,1.00334752
666,18,1.00864141
667,17,1.00286961
668,14,0.99542962
669,13,1.00148758
670,12,1.0014898
671,11,0.9895668
672,10,1.00512937
673,7,1.01275613
674,6,0.97677172
675,5,0.99573345
676,4,0.94639252
677,3,0.98179542
678,30,1.00334956
679,29,0.99572672
680,28,1.00219356
681,27,0.98442159
682,26,0.98806198
