,Year,Month,Day,Open,High,Low,Close,Volumn,Return,RSI,CDMA,newColumn
244,2018,6,7,16.676,16.901,16.647000000000002,16.705,17467,1.00191927,57.54043564,0.01056045,7.013434889999999
245,2018,6,6,16.493,16.736,16.482,16.673,13981,1.01097502,56.48801593,-0.00642119,6.06585012
246,2018,6,5,16.429000000000002,16.554000000000002,16.366,16.492,13381,1.00469083,49.97564978,-0.02474437,5.023454149999999
247,2018,6,4,16.405,16.548,16.374000000000002,16.415,13165,1.00073157,46.83220343,-0.02934239,4.00292628
250,2018,5,30,16.366,16.562,16.32,16.512999999999998,19121,1.0073202,50.00698873,-0.01740497,30.219606000000002
254,2018,5,24,16.459,16.694000000000003,16.409000000000002,16.668,11166,1.01282129,54.90028069,-0.01184745,24.30771096
256,2018,5,22,16.514,16.68,16.454,16.546,9726,1.00187708,50.96976243,-0.02802134,22.04129576
257,2018,5,21,16.387,16.524,16.275,16.515,8264,1.00431768,49.91286516,-0.03597162,21.09067128
258,2018,5,18,16.426,16.472,16.365,16.444000000000003,7500,1.00066938,47.50635628,-0.04243949,18.01204884
259,2018,5,17,16.381,16.504,16.33,16.433,8692,1.00305194,47.14098873,-0.04284845,17.05188298
260,2018,5,16,16.279,16.427,16.191,16.383,9102,1.007131,45.54111909,-0.04162717,16.114096
264,2018,5,10,16.505,16.772000000000002,16.479,16.714000000000002,13569,1.01346107,54.88742168,-0.02128252,10.1346107
265,2018,5,9,16.474,16.624000000000002,16.355999999999998,16.492,10940,1.00066744,48.11680027,-0.04096655,9.00600696
268,2018,5,4,16.461,16.544,16.372,16.523,10566,1.00517095,48.88117008,-0.04418401,4.0206838
269,2018,5,3,16.385,16.590999999999998,16.361,16.438,11197,1.00372474,46.5265606,-0.04825324,3.01117422
270,2018,5,2,16.185,16.531,16.16,16.377,15980,1.01280148,44.83322997,-0.04409065,2.02560296
273,2018,4,27,16.541,16.572,16.447,16.525,9653,1.00006052,46.6256034,0.036089,27.00163404
276,2018,4,24,16.641,16.77,16.561,16.727999999999998,10441,1.00480538,51.32286325,0.10445192,24.115329120000002
279,2018,4,19,17.202,17.355999999999998,17.102,17.258,18873,1.00348878,67.20657309,0.12221118,19.066286820000002
280,2018,4,18,16.804000000000002,17.266,16.73,17.198,15253,1.02491061,66.16284288,0.08145804,18.44839098
281,2018,4,17,16.660999999999998,16.822,16.592,16.78,11157,1.0065383,57.38966985,0.03436647,17.1111511
282,2018,4,16,16.686,16.776,16.559,16.671,10963,1.00084049,54.53535298,0.01632062,16.01344784
283,2018,4,13,16.495,16.71,16.465999999999998,16.657,12025,1.0116611,54.16920085,0.00414835,13.1515943
285,2018,4,11,16.595,16.881,16.534000000000002,16.68,18962,1.0066385,55.53026995,-0.00841541,11.0730235
286,2018,4,10,16.495,16.654,16.439,16.57,13512,1.00460774,52.48621675,-0.02813233,10.0460774
287,2018,4,9,16.423,16.567,16.328,16.494,12290,1.00720567,50.30375026,-0.0416891,9.06485103
289,2018,4,5,16.344,16.426,16.189,16.393,13388,1.00416539,47.22736092,-0.04933133,5.02082695
