,Month,Day
1284,6,2
1285,5,30
1286,5,29
1287,5,28
1288,5,27
1289,5,26
1290,5,23
1291,5,22
1292,5,21
1293,5,20
1294,5,19
1295,5,16
1296,5,15
1297,5,14
1298,5,13
1299,5,12
1300,5,9
1301,5,8
1302,5,7
1303,5,6
1304,5,5
1305,5,2
1306,5,1
1307,4,30
1308,4,29
1309,4,28
1310,4,25
1311,4,24
1312,4,23
1313,4,22
1314,4,21
1315,4,18
1316,4,17
1317,4,16
1318,4,15
1319,4,14
1320,4,11
1321,4,10
1322,4,9
1323,4,8
1324,4,7
1325,4,4
1326,4,3
1327,4,2
1328,4,1
1329,3,31
1330,3,28
1331,3,27
1332,3,26
1333,3,25
1334,3,24
1335,3,21
1336,3,20
1337,3,19
1338,3,18
1339,3,17
1340,3,14
1341,3,13
1342,3,12
1343,3,11
1344,3,10
1345,3,7
1346,3,6
1347,3,5
1348,3,4
1349,3,3
1350,2,28
1351,2,27
1352,2,26
1353,2,25
1354,2,24
1355,2,21
1356,2,20
1357,2,19
1358,2,18
1359,2,17
1360,2,14
1361,2,13
1362,2,12
1363,2,11
1364,2,10
1365,2,7
1366,2,6
1367,2,5
1368,2,4
1369,2,3
1370,1,31
1371,1,30
1372,1,29
1373,1,28
1374,1,27
1375,1,24
1376,1,23
1377,1,22
1378,1,21
1379,1,20
1380,1,17
1381,1,16
1382,1,15
1383,1,14
1384,1,13
1385,1,10
1386,1,9
1387,1,8
1388,1,7
1389,1,6
1390,1,3
1391,1,2
1392,12,31
1393,12,30
1394,12,27
1395,12,26
1396,12,24
1397,12,23
1398,12,20
1399,12,19
1400,12,18
1401,12,17
1402,12,16
1403,12,13
1404,12,12
1405,12,11
1406,12,10
1407,12,9
1408,12,6
1409,12,5
1410,12,4
1411,12,3
1412,12,2
1413,11,29
1414,11,28
1415,11,27
1416,11,26
1417,11,25
1418,11,22
1419,11,21
1420,11,20
1421,11,19
1422,11,18
1423,11,15
1424,11,14
1425,11,13
1426,11,12
1427,11,11
1428,11,8
1429,11,7
1430,11,6
1431,11,5
1432,11,4
1433,11,1
1434,10,31
1435,10,30
1436,10,29
1437,10,28
1438,10,25
1439,10,24
1440,10,23
1441,10,22
1442,10,21
1443,10,18
1444,10,17
1445,10,16
1446,10,15
1447,10,14
1448,10,11
1449,10,10
1450,10,9
1451,10,8
1452,10,7
1453,10,4
1454,10,3
1455,10,2
1456,10,1
1457,9,30
1458,9,27
1459,9,26
1460,9,25
1461,9,24
1462,9,23
1463,9,20
1464,9,19
1465,9,18
1466,9,17
1467,9,16
1468,9,13
1469,9,12
1470,9,11
1471,9,10
1472,9,9
1473,9,6
1474,9,5
1475,9,4
1476,9,3
1477,9,2
1478,8,30
1479,8,29
1480,8,28
1481,8,27
1482,8,26
1483,8,23
1484,8,22
1485,8,21
1486,8,20
1487,8,19
1488,8,16
1489,8,15
1490,8,14
1491,8,13
1492,8,12
1493,8,9
1494,8,8
1495,8,7
1496,8,6
1497,8,5
1498,8,2
1499,8,1
1500,7,31
1501,7,30
1502,7,29
1503,7,26
1504,7,25
1505,7,24
1506,7,23
1507,7,22
1508,7,19
1509,7,18
1510,7,17
1511,7,16
1512,7,15
1513,7,12
1514,7,11
1515,7,10
1516,7,9
1517,7,8
1518,7,5
1519,7,4
1520,7,3
1521,7,2
1522,7,1
1523,6,28
1524,6,27
1525,6,26
1526,6,25
1527,6,24
1528,6,21
1529,6,20
1530,6,19
1531,6,18
1532,6,17
1533,6,14
1534,6,13
1535,6,12
1536,6,11
1537,6,10
1538,6,7
1539,6,6
1540,6,5
1541,6,4
1542,6,3
1543,5,31
1544,5,30
1545,5,29
1546,5,28
1547,5,27
1548,5,24
1549,5,23
1550,5,22
1551,5,21
1552,5,20
1553,5,17
1554,5,16
1555,5,15
1556,5,14
1557,5,13
1558,5,10
1559,5,9
1560,5,8
1561,5,7
1562,5,6
1563,5,3
1564,5,2
1565,5,1
1566,4,30
1567,4,29
1568,4,26
1569,4,25
1570,4,24
1571,4,23
1572,4,22
1573,4,19
1574,4,18
1575,4,17
1576,4,16
1577,4,15
1578,4,12
1579,4,11
1580,4,10
1581,4,9
1582,4,8
1583,4,5
1584,4,4
1585,4,3
1586,4,2
1587,4,1
1588,3,28
1589,3,27
1590,3,26
1591,3,25
1592,3,22
1593,3,21
1594,3,20
1595,3,19
1596,3,18
1597,3,15
1598,3,14
1599,3,13
1600,3,12
1601,3,11
1602,3,8
1603,3,7
1604,3,6
1605,3,5
1606,3,4
1607,3,1
1608,2,28
1609,2,27
1610,2,26
1611,2,25
1612,2,22
1613,2,21
1614,2,20
1615,2,19
1616,2,18
1617,2,15
1618,2,14
1619,2,13
1620,2,12
1621,2,11
1622,2,8
1623,2,7
1624,2,6
1625,2,5
1626,2,4
1627,2,1
1628,1,31
1629,1,30
1630,1,29
1631,1,28
1632,1,25
1633,1,24
1634,1,23
1635,1,22
1636,1,21
1637,1,18
1638,1,17
1639,1,16
1640,1,15
1641,1,14
1642,1,11
1643,1,10
1644,1,9
1645,1,8
1646,1,7
1647,1,4
1648,1,3
1649,1,2
1650,12,31
1651,12,28
1652,12,27
1653,12,26
1654,12,24
1655,12,21
1656,12,20
1657,12,19
1658,12,18
1659,12,17
1660,12,14
1661,12,13
1662,12,12
1663,12,11
1664,12,10
1665,12,7
1666,12,6
1667,12,5
1668,12,4
1669,12,3
1670,11,30
1671,11,29
1672,11,28
1673,11,27
1674,11,26
1675,11,23
1676,11,22
1677,11,21
1678,11,20
1679,11,19
1680,11,16
1681,11,15
1682,11,14
1683,11,13
1684,11,12
1685,11,9
1686,11,8
1687,11,7
1688,11,6
1689,11,5
1690,11,2
1691,11,1
1692,10,31
1693,10,30
1694,10,29
1695,10,26
1696,10,25
1697,10,24
1698,10,23
1699,10,22
1700,10,19
1701,10,18
1702,10,17
1703,10,16
1704,10,15
1705,10,12
1706,10,11
1707,10,10
1708,10,9
1709,10,8
1710,10,5
1711,10,4
1712,10,3
1713,10,2
1714,10,1
1715,9,28
1716,9,27
1717,9,26
1718,9,25
1719,9,24
1720,9,21
1721,9,20
1722,9,19
1723,9,18
1724,9,17
1725,9,14
1726,9,13
1727,9,12
1728,9,11
1729,9,10
1730,9,7
1731,9,6
1732,9,5
1733,9,4
1734,9,3
1735,8,31
1736,8,30
1737,8,29
1738,8,28
1739,8,27
1740,8,24
1741,8,23
1742,8,22
1743,8,21
1744,8,20
1745,8,17
1746,8,16
1747,8,15
1748,8,14
1749,8,13
1750,8,10
1751,8,9
1752,8,8
1753,8,7
1754,8,6
1755,8,3
1756,8,2
1757,8,1
1758,7,31
1759,7,30
1760,7,27
1761,7,26
1762,7,25
1763,7,24
1764,7,23
1765,7,20
1766,7,19
1767,7,18
1768,7,17
1769,7,16
1770,7,13
1771,7,12
1772,7,11
1773,7,10
1774,7,9
1775,7,6
1776,7,5
1777,7,4
1778,7,3
1779,7,2
1780,6,29
1781,6,28
1782,6,27
1783,6,26
1784,6,25
1785,6,22
1786,6,21
1787,6,20
1788,6,19
1789,6,18
1790,6,15
1791,6,14
1792,6,13
1793,6,12
1794,6,11
1795,6,8
1796,6,7
1797,6,6
1798,6,5
1799,6,4
1800,6,1
1801,5,31
1802,5,30
1803,5,29
1804,5,28
1805,5,25
1806,5,24
1807,5,23
1808,5,22
1809,5,21
1810,5,18
1811,5,17
1812,5,16
1813,5,15
1814,5,14
1815,5,11
1816,5,10
1817,5,9
1818,5,8
1819,5,7
1820,5,4
1821,5,3
1822,5,2
1823,5,1
1824,4,30
1825,4,27
1826,4,26
1827,4,25
1828,4,24
1829,4,23
1830,4,20
1831,4,19
1832,4,18
1833,4,17
1834,4,16
1835,4,13
1836,4,12
1837,4,11
1838,4,10
1839,4,9
1840,4,6
1841,4,5
1842,4,4
1843,4,3
1844,4,2
1845,3,30
1846,3,29
1847,3,28
1848,3,27
1849,3,26
1850,3,23
1851,3,22
1852,3,21
1853,3,20
1854,3,19
1855,3,16
1856,3,15
1857,3,14
1858,3,13
1859,3,12
1860,3,9
1861,3,8
1862,3,7
1863,3,6
1864,3,5
1865,3,2
1866,3,1
1867,2,29
1868,2,28
1869,2,27
1870,2,24
1871,2,23
1872,2,22
1873,2,21
1874,2,20
1875,2,17
1876,2,16
1877,2,15
1878,2,14
1879,2,13
1880,2,10
1881,2,9
1882,2,8
1883,2,7
1884,2,6
1885,2,3
1886,2,2
1887,2,1
1888,1,31
1889,1,30
1890,1,27
1891,1,26
1892,1,25
1893,1,24
1894,1,23
1895,1,20
1896,1,19
1897,1,18
1898,1,17
1899,1,16
1900,1,13
1901,1,12
1902,1,11
1903,1,10
1904,1,9
1905,1,6
1906,1,5
1907,1,4
1908,1,3
1909,12,30
1910,12,29
1911,12,28
1912,12,27
1913,12,23
1914,12,22
1915,12,21
1916,12,20
1917,12,19
1918,12,16
1919,12,15
1920,12,14
1921,12,13
1922,12,12
1923,12,9
1924,12,8
1925,12,7
1926,12,6
1927,12,5
1928,12,2
1929,12,1
1930,11,30
1931,11,29
1932,11,28
1933,11,25
1934,11,24
1935,11,23
1936,11,22
1937,11,21
1938,11,18
1939,11,17
1940,11,16
1941,11,15
1942,11,14
1943,11,11
1944,11,10
1945,11,9
1946,11,8
1947,11,7
1948,11,4
1949,11,3
1950,11,2
1951,11,1
1952,10,31
1953,10,28
1954,10,27
1955,10,26
1956,10,25
1957,10,24
1958,10,21
1959,10,20
1960,10,19
1961,10,18
1962,10,17
1963,10,14
1964,10,13
1965,10,12
1966,10,11
1967,10,10
1968,10,7
1969,10,6
1970,10,5
1971,10,4
1972,10,3
1973,9,30
1974,9,29
1975,9,28
1976,9,27
1977,9,26
1978,9,23
1979,9,22
1980,9,21
1981,9,20
1982,9,19
1983,9,16
1984,9,15
1985,9,14
1986,9,13
1987,9,12
1988,9,9
1989,9,8
1990,9,7
1991,9,6
1992,9,5
1993,9,2
1994,9,1
1995,8,31
1996,8,30
1997,8,29
1998,8,26
1999,8,25
2000,8,24
2001,8,23
2002,8,22
2003,8,19
2004,8,18
2005,8,17
2006,8,16
2007,8,15
2008,8,12
2009,8,11
2010,8,10
2011,8,9
2012,8,8
2013,8,5
2014,8,4
2015,8,3
2016,8,2
2017,8,1
2018,7,29
2019,7,28
2020,7,27
2021,7,26
2022,7,25
2023,7,22
2024,7,21
2025,7,20
2026,7,19
2027,7,18
2028,7,15
2029,7,14
2030,7,13
2031,7,12
2032,7,11
2033,7,8
2034,7,7
2035,7,6
2036,7,5
2037,7,4
2038,7,1
2039,6,30
2040,6,29
2041,6,28
2042,6,27
2043,6,24
2044,6,23
2045,6,22
